Event,Time
Baseline,"28/05/2021 07:21:53"
"Attempting A","28/05/2021 07:24:37"
"Submitting A","28/05/2021 07:32:13"
"Attempting B","28/05/2021 07:34:25"
"Submitting B","28/05/2021 07:38:12"
"Submitting B","28/05/2021 07:54:50"
"Submitting B","28/05/2021 08:07:55"
"Submitting B","28/05/2021 08:09:17"
"Submitting B","28/05/2021 08:12:45"
"Submitting B","28/05/2021 08:12:54"
"Submitting B","28/05/2021 08:13:21"
"Attempting C","28/05/2021 08:15:18"
"Submitting C","28/05/2021 08:30:43"
"Submitting C","28/05/2021 08:33:57"
"Submitting C","28/05/2021 08:36:21"
"Attempting D","28/05/2021 08:37:04"
"Submitting D","28/05/2021 16:51:05"
"Submitting D","28/05/2021 16:54:13"
"Submitting D","28/05/2021 16:55:02"
