Event,Time
Baseline,"07/05/2021 07:34:00"
"Attempting A","07/05/2021 07:34:57"
"Submitting A","07/05/2021 07:39:43"
"Submitting A","07/05/2021 07:40:23"
"Checking","07/05/2021 07:41:06"
"Submitting A","07/05/2021 07:47:57"
"Submitting A","07/05/2021 07:54:51"
"Checking A","07/05/2021 07:55:06"
"Compiling Data Generator for  A","07/05/2021 07:57:37"
"Compiling Judge for  A","07/05/2021 08:02:45"
"Compiling Judge for  A","07/05/2021 08:03:00"
"Compiling Judge for  A","07/05/2021 08:03:09"
"Compiling Judge for  A","07/05/2021 08:04:12"
"Compiling Data Generator for  A","07/05/2021 08:08:41"
"Attempting B","07/05/2021 08:12:38"
"Submitting B","07/05/2021 08:24:31"
"Submitting B","07/05/2021 08:30:06"
"Submitting B","07/05/2021 08:30:31"
"Submitting B","07/05/2021 08:31:28"
"Submitting C","07/05/2021 13:36:25"
"Submitting C","07/05/2021 13:41:19"
"Submitting C","07/05/2021 13:42:21"
"Submitting C","07/05/2021 13:51:20"
"Submitting C","07/05/2021 13:54:46"
"Submitting C","07/05/2021 13:55:24"
"Submitting C","07/05/2021 13:57:15"
"Submitting C","07/05/2021 13:59:22"
"Submitting C","07/05/2021 13:59:44"
