Event,Time
Baseline,"20/05/2021 07:35:48"
"Attempting AA","20/05/2021 07:37:01"
"Attempting A","20/05/2021 07:37:08"
"Testing A","20/05/2021 07:41:10"
"Testing A","20/05/2021 07:42:30"
"Submitting A","20/05/2021 07:42:43"
"Checking","20/05/2021 07:43:32"
"Attempting B1","20/05/2021 07:53:55"
"Testing B1","20/05/2021 07:58:37"
"Testing B1","20/05/2021 07:59:04"
"Submitting B1","20/05/2021 07:59:16"
"Checking","20/05/2021 07:59:45"
"Submitting B1","20/05/2021 08:03:28"
"Checking","20/05/2021 08:03:44"
"Submitting B1","20/05/2021 08:16:06"
"Checking","20/05/2021 08:16:28"
"Attempting C","20/05/2021 08:17:26"
"Submitting C","20/05/2021 08:52:35"
"Checking C","20/05/2021 08:52:55"
"Submitting C","20/05/2021 08:53:23"
"Checking C","20/05/2021 08:53:34"
"Attempting D","20/05/2021 08:54:10"
